Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	data_jpn.txt	1	404	407	わたし					1	1	0	0
Texts	data_jpn.txt	2	671	674	わたし					1	1	0	0
Texts	data_jpn.txt	3	697	700	わたし					1	1	0	0
Texts	data_jpn.txt	4	1100	1103	わたし					1	1	0	0
Texts	data_jpn.txt	5	1125	1128	わたし					1	1	0	0
Texts	data_jpn.txt	6	1307	1310	わたし					1	1	0	0
Texts	data_jpn.txt	7	1402	1405	わたし					1	1	0	0
Texts	data_jpn.txt	8	1455	1458	わたし					1	1	0	0
Texts	data_jpn.txt	9	1680	1683	わたし					1	1	0	0
Texts	data_jpn.txt	10	1865	1868	わたし					1	1	0	0
Texts	data_jpn.txt	11	1970	1973	わたし					1	1	0	0
Texts	data_jpn.txt	12	2645	2648	わたし					1	1	0	0
Texts	data_jpn.txt	13	2694	2697	わたし					1	1	0	0
Texts	data_jpn.txt	14	2849	2852	わたし					1	1	0	0
Texts	data_jpn.txt	15	2998	3001	わたし					1	1	0	0
Texts	data_jpn.txt	16	3114	3117	わたし					1	1	0	0
Texts	data_jpn.txt	17	3257	3260	わたし					1	1	0	0
Texts	data_jpn.txt	18	3838	3841	わたし					1	1	0	0
Texts	data_jpn.txt	19	3868	3871	わたし					1	1	0	0
Texts	data_jpn.txt	20	4250	4253	わたし					1	1	0	0
Texts	data_jpn.txt	21	4276	4279	わたし					1	1	0	0
Texts	data_jpn.txt	22	4492	4495	わたし					1	1	0	0
Texts	data_jpn.txt	23	4560	4563	わたし					1	1	0	0
Texts	data_jpn.txt	24	4581	4584	わたし					1	1	0	0
Texts	data_jpn.txt	25	4631	4634	わたし					1	1	0	0
Texts	data_jpn.txt	26	4722	4725	わたし					1	1	0	0
Texts	data_jpn.txt	27	5233	5236	わたし					1	1	0	0
Texts	data_jpn.txt	28	5425	5428	わたし					1	1	0	0
Texts	data_jpn.txt	29	5799	5802	わたし					1	1	0	0
Texts	data_jpn.txt	30	5823	5826	わたし					1	1	0	0
Texts	data_jpn.txt	31	5848	5851	わたし					1	1	0	0
Texts	data_jpn.txt	32	5908	5911	わたし					1	1	0	0
Texts	data_jpn.txt	33	5965	5968	わたし					1	1	0	0
Texts	data_jpn.txt	34	5999	6002	わたし					1	1	0	0
Texts	data_jpn.txt	35	6169	6172	わたし					1	1	0	0
Texts	data_jpn.txt	36	6214	6217	わたし					1	1	0	0
Texts	data_jpn.txt	37	6242	6245	あなた					1	0	1	0
Texts	data_jpn.txt	38	6264	6267	わたし					1	1	0	0
Texts	data_jpn.txt	39	6569	6572	わたし					1	1	0	0
Texts	data_jpn.txt	40	6636	6639	あなた					1	0	1	0
Texts	data_jpn.txt	42	7084	7086	先生					1	0	0	1
Texts	data_jpn.txt	41	7093	7094	私					1	1	0	0
Texts	data_jpn.txt	43	8313	8316	わたし					1	1	0	0
Texts	data_jpn.txt	44	8422	8425	わたし					1	1	0	0
Texts	data_jpn.txt	45	8592	8595	わたし					1	1	0	0
Texts	data_jpn.txt	46	8656	8659	わたし					1	1	0	0
Texts	data_jpn.txt	47	8682	8685	わたし					1	1	0	0
Texts	data_jpn.txt	48	8714	8717	わたし					1	1	0	0
Texts	data_jpn.txt	49	8839	8842	わたし					1	1	0	0
Texts	data_jpn.txt	50	8897	8900	わたし					1	1	0	0
Texts	data_jpn.txt	51	9262	9265	わたし					1	1	0	0
Texts	data_jpn.txt	52	9334	9337	わたし					1	1	0	0
Texts	data_jpn.txt	53	9464	9467	わたし					1	1	0	0
Texts	data_jpn.txt	54	9557	9560	わたし					1	1	0	0
Texts	data_jpn.txt	55	9762	9765	わたし					1	1	0	0
Texts	data_jpn.txt	56	9897	9900	わたし					1	1	0	0
Texts	data_jpn.txt	57	9944	9947	わたし					1	1	0	0
Texts	data_jpn.txt	58	9971	9974	わたし					1	1	0	0
Texts	data_jpn.txt	59	10070	10073	わたし					1	1	0	0
Texts	data_jpn.txt	60	10204	10207	わたし					1	1	0	0
Texts	data_jpn.txt	61	10523	10526	わたし					1	1	0	0
Texts	data_jpn.txt	62	10544	10547	わたし					1	1	0	0
Texts	data_jpn.txt	63	11219	11222	わたし					1	1	0	0
Texts	data_jpn.txt	64	11243	11246	わたし					1	1	0	0
Texts	data_jpn.txt	173	11436	11439	わたし					1	1	0	0
Texts	data_jpn.txt	65	11518	11521	わたし					1	1	0	0
Texts	data_jpn.txt	66	11624	11627	わたし					1	1	0	0
Texts	data_jpn.txt	67	11730	11733	わたし					1	1	0	0
Texts	data_jpn.txt	68	11941	11944	わたし					1	1	0	0
Texts	data_jpn.txt	69	12024	12027	わたし					1	1	0	0
Texts	data_jpn.txt	70	12077	12080	わたし					1	1	0	0
Texts	data_jpn.txt	71	12214	12217	わたし					1	1	0	0
Texts	data_jpn.txt	72	12767	12770	わたし					1	1	0	0
Texts	data_jpn.txt	73	12796	12799	わたし					1	1	0	0
Texts	data_jpn.txt	74	12873	12876	わたし					1	1	0	0
Texts	data_jpn.txt	75	13206	13209	わたし					1	1	0	0
Texts	data_jpn.txt	76	13357	13360	わたし					1	1	0	0
Texts	data_jpn.txt	77	13382	13385	わたし					1	1	0	0
Texts	data_jpn.txt	78	13455	13458	わたし					1	1	0	0
Texts	data_jpn.txt	79	13514	13517	わたし					1	1	0	0
Texts	data_jpn.txt	80	14201	14204	わたし					1	1	0	0
Texts	data_jpn.txt	81	14381	14384	わたし					1	1	0	0
Texts	data_jpn.txt	82	14407	14410	わたし					1	1	0	0
Texts	data_jpn.txt	83	15206	15209	わたし					1	1	0	0
Texts	data_jpn.txt	84	15731	15734	わたし					1	1	0	0
Texts	data_jpn.txt	85	16087	16090	わたし					1	1	0	0
Texts	data_jpn.txt	86	16194	16197	わたし					1	1	0	0
Texts	data_jpn.txt	87	16641	16644	わたし					1	1	0	0
Texts	data_jpn.txt	88	17007	17010	わたし					1	1	0	0
Texts	data_jpn.txt	89	17562	17565	わたし					1	1	0	0
Texts	data_jpn.txt	90	18002	18005	わたし					1	1	0	0
Texts	data_jpn.txt	91	18853	18856	わたし					1	1	0	0
Texts	data_jpn.txt	92	18881	18884	わたし					1	1	0	0
Texts	data_jpn.txt	93	19221	19224	わたし					1	1	0	0
Texts	data_jpn.txt	94	19342	19345	わたし					1	1	0	0
Texts	data_jpn.txt	95	19607	19610	わたし					1	1	0	0
Texts	data_jpn.txt	96	19768	19771	わたし					1	1	0	0
Texts	data_jpn.txt	97	19887	19890	わたし					1	1	0	0
Texts	data_jpn.txt	98	20086	20089	あなた					1	0	1	0
Texts	data_jpn.txt	99	20107	20109	自分					1	1	0	0
Texts	data_jpn.txt	100	20664	20667	わたし					1	1	0	0
Texts	data_jpn.txt	101	20745	20748	わたし					1	1	0	0
Texts	data_jpn.txt	102	20775	20778	わたし					1	1	0	0
Texts	data_jpn.txt	103	21171	21174	わたし					1	1	0	0
Texts	data_jpn.txt	104	21400	21403	わたし					1	1	0	0
Texts	data_jpn.txt	105	21539	21542	わたし					1	1	0	0
Texts	data_jpn.txt	106	22098	22101	わたし					1	1	0	0
Texts	data_jpn.txt	107	22263	22266	わたし					1	1	0	0
Texts	data_jpn.txt	108	22399	22402	わたし					1	1	0	0
Texts	data_jpn.txt	109	22645	22648	わたし					1	1	0	0
Texts	data_jpn.txt	110	22673	22676	わたし					1	1	0	0
Texts	data_jpn.txt	111	22705	22708	わたし					1	1	0	0
Texts	data_jpn.txt	112	22731	22734	わたし					1	1	0	0
Texts	data_jpn.txt	113	22785	22788	わたし					1	1	0	0
Texts	data_jpn.txt	114	23061	23064	わたし					1	1	0	0
Texts	data_jpn.txt	115	24789	24792	わたし					1	1	0	0
Texts	data_jpn.txt	116	25217	25220	わたし					1	1	0	0
Texts	data_jpn.txt	117	25300	25303	わたし					1	1	0	0
Texts	data_jpn.txt	118	25505	25508	わたし					1	1	0	0
Texts	data_jpn.txt	119	25782	25785	わたし					1	1	0	0
Texts	data_jpn.txt	120	25839	25842	わたし					1	1	0	0
Texts	data_jpn.txt	121	25861	25864	わたし					1	1	0	0
Texts	data_jpn.txt	122	26242	26245	わたし					1	1	0	0
Texts	data_jpn.txt	123	26428	26431	わたし					1	1	0	0
Texts	data_jpn.txt	124	26726	26729	わたし					1	1	0	0
Texts	data_jpn.txt	125	26951	26954	わたし					1	1	0	0
Texts	data_jpn.txt	126	27106	27109	わたし					1	1	0	0
Texts	data_jpn.txt	127	27420	27423	わたし					1	1	0	0
Texts	data_jpn.txt	128	27505	27508	わたし					1	1	0	0
Texts	data_jpn.txt	129	27645	27648	わたし					1	1	0	0
Texts	data_jpn.txt	130	27836	27839	わたし					1	1	0	0
Texts	data_jpn.txt	131	28311	28314	わたし					1	1	0	0
Texts	data_jpn.txt	132	28398	28401	わたし					1	1	0	0
Texts	data_jpn.txt	133	28706	28709	わたし					1	1	0	0
Texts	data_jpn.txt	134	28758	28761	わたし					1	1	0	0
Texts	data_jpn.txt	135	29494	29497	わたし					1	1	0	0
Texts	data_jpn.txt	136	29812	29815	わたし					1	1	0	0
Texts	data_jpn.txt	137	30142	30145	わたし					1	1	0	0
Texts	data_jpn.txt	138	30296	30299	わたし					1	1	0	0
Texts	data_jpn.txt	139	30821	30824	わたし					1	1	0	0
Texts	data_jpn.txt	140	31272	31275	わたし					1	1	0	0
Texts	data_jpn.txt	141	31480	31483	わたし					1	1	0	0
Texts	data_jpn.txt	142	31525	31528	わたし					1	1	0	0
Texts	data_jpn.txt	143	31599	31602	わたし					1	1	0	0
Texts	data_jpn.txt	144	31746	31749	わたし					1	1	0	0
Texts	data_jpn.txt	157	32202	32205	イさん					1	0	1	0
Texts	data_jpn.txt	158	32230	32234	木村さん					1	0	1	0
Texts	data_jpn.txt	174	32390	32394	山田さん					1	0	1	0
Texts	data_jpn.txt	145	32437	32441	田中さん					1	0	0	1
Texts	data_jpn.txt	148	32783	32786	わたし					1	1	0	0
Texts	data_jpn.txt	149	32837	32840	わたし					1	1	0	0
Texts	data_jpn.txt	150	32936	32939	わたし					1	1	0	0
Texts	data_jpn.txt	151	33112	33115	わたし					1	1	0	0
Texts	data_jpn.txt	152	33141	33144	わたし					1	1	0	0
Texts	data_jpn.txt	153	33341	33344	わたし					1	1	0	0
Texts	data_jpn.txt	154	33397	33400	わたし					1	1	0	0
Texts	data_jpn.txt	160	33709	33712	皆さん					1	0	1	0
Texts	data_jpn.txt	159	33730	33733	皆さん					1	0	1	0
Texts	data_jpn.txt	155	33741	33744	わたし					1	1	0	0
Texts	data_jpn.txt	156	33758	33761	皆さん					1	0	0	1
Texts	data_jpn.txt	161	34051	34054	わたし					1	1	0	0
Texts	data_jpn.txt	162	34181	34184	わたし					1	1	0	0
Texts	data_jpn.txt	163	34262	34265	わたし					1	1	0	0
Texts	data_jpn.txt	164	34291	34294	わたし					1	1	0	0
Texts	data_jpn.txt	165	34413	34416	わたし					1	1	0	0
Texts	data_jpn.txt	166	34775	34778	わたし					1	1	0	0
Texts	data_jpn.txt	167	34898	34901	わたし					1	1	0	0
Texts	data_jpn.txt	168	35308	35311	わたし					1	1	0	0
Texts	data_jpn.txt	169	35483	35486	わたし					1	1	0	0
Texts	data_jpn.txt	170	35584	35587	わたし					1	1	0	0
Texts	data_jpn.txt	171	35653	35656	わたし					1	1	0	0
Texts	data_jpn.txt	172	36010	36013	わたし					1	1	0	0
