Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	data_myn.txt	1	0	0						1	0	0	0
Texts	data_myn.txt	2	707	717	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	3	1126	1136	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	4	1187	1197	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	5	1857	1866	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	10	1907	1916	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	11	2378	2387	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	12	2473	2483	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	13	2802	2812	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	14	3097	3106	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	15	3251	3260	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	16	4325	4335	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	17	4658	4667	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	18	4943	4952	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	19	4992	4994	သူ					1	0	0	0
Texts	data_myn.txt	20	5102	5111	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	21	5358	5367	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	22	6359	6369	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	23	6408	6418	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	175	6959	6968	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	176	6999	7008	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	24	7352	7361	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	25	7451	7460	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	26	7489	7498	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	27	7553	7562	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	28	7714	7723	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	29	8809	8818	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	30	9408	9417	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	31	9445	9454	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	32	9485	9494	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	33	9588	9597	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	34	9677	9686	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	35	9739	9749	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	36	10006	10015	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	37	10099	10108	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	177	10162	10166	မင်း					1	0	1	0
Texts	data_myn.txt	38	10190	10199	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	39	10680	10689	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	40	10779	10783	မင်း					1	0	1	0
Texts	data_myn.txt	178	11503	11506	ဆရာ					1	0	0	1
Texts	data_myn.txt	41	11511	11521	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	42	13529	13538	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	43	13707	13716	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	44	13961	13970	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	45	14073	14082	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	46	14117	14126	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	47	14170	14179	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	48	14362	14371	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	49	14461	14471	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	50	15025	15034	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	51	15174	15183	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	52	15389	15398	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	53	15541	15550	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	54	15847	15856	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	55	16060	16069	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	56	16150	16160	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	57	16196	16206	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	58	16357	16367	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	59	16568	16578	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	60	17089	17099	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	61	17128	17138	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	62	18230	18239	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	63	18278	18287	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	64	18541	18544	သူ့					1	0	0	0
Texts	data_myn.txt	65	18601	18610	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	66	18736	18745	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	67	18927	18936	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	68	19119	19128	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	69	19504	19513	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	70	19675	19684	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	71	19763	19772	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	72	20003	20012	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	73	20946	20955	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	74	20992	21001	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	75	21112	21121	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	76	21632	21641	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	77	21875	21884	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	78	21946	21955	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	79	22074	22083	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	80	22185	22194	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	81	23311	23320	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	82	23608	23617	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	83	23659	23668	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	84	25009	25018	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	85	25969	25978	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	86	26522	26532	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	87	26679	26689	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	88	27425	27435	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	89	28065	28074	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	90	28965	28974	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	91	29655	29665	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	92	31104	31113	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	93	31149	31158	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	94	31740	31750	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	95	31965	31975	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	96	32426	32436	ကျွန်တော့်					1	1	0	0
Texts	data_myn.txt	97	32726	32735	ကျွန်တော်					1	1	0	0
Texts	data_myn.txt	98	32907	32917	ကျွန်တော့်					1	1	0	0
