Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	data_tha.txt	30139	602	604	ผม					1	1	0	0
Texts	data_tha.txt	30149	947	956	คุณทานากะ					1	0	1	0
Texts	data_tha.txt	30151	1029	1031	ผม					1	1	0	0
Texts	data_tha.txt	30152	1068	1070	ผม					1	1	0	0
Texts	data_tha.txt	30169	1676	1678	ผม					1	1	0	0
Texts	data_tha.txt	30170	1716	1718	ผม					1	1	0	0
Texts	data_tha.txt	30179	1966	1968	ผม					1	1	0	0
Texts	data_tha.txt	30184	2093	2095	ผม					1	1	0	0
Texts	data_tha.txt	30186	2183	2185	ผม					1	1	0	0
Texts	data_tha.txt	30196	2472	2474	ผม					1	1	0	0
Texts	data_tha.txt	30204	2685	2687	ผม					1	1	0	0
Texts	data_tha.txt	30209	2817	2819	ผม					1	1	0	0
Texts	data_tha.txt	30222	3265	3274	คุณทานากะ					1	0	1	0
Texts	data_tha.txt	30236	3750	3752	ผม					1	1	0	0
Texts	data_tha.txt	30237	3813	3815	ผม					1	1	0	0
Texts	data_tha.txt	30243	4053	4055	ผม					1	1	0	0
Texts	data_tha.txt	30247	4274	4276	ผม					1	1	0	0
Texts	data_tha.txt	30250	4452	4454	ผม					1	1	0	0
Texts	data_tha.txt	30256	4656	4658	ผม					1	1	0	0
Texts	data_tha.txt	30271	5130	5149	คนที่ ๑ ถึงคนที่ ๑๐					1	0	0	1
Texts	data_tha.txt	30283	5543	5545	ผม					1	1	0	0
Texts	data_tha.txt	30284	5592	5594	ผม					1	1	0	0
Texts	data_tha.txt	30299	6072	6074	ผม					1	1	0	0
Texts	data_tha.txt	30300	6098	6100	ผม					1	1	0	0
Texts	data_tha.txt	30309	6423	6425	ผม					1	1	0	0
Texts	data_tha.txt	30312	6512	6514	ผม					1	1	0	0
Texts	data_tha.txt	30313	6533	6535	ผม					1	1	0	0
Texts	data_tha.txt	30315	6585	6587	ผม					1	1	0	0
Texts	data_tha.txt	30319	6728	6730	ผม					1	1	0	0
