Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	data_vie.txt	3	49	52	tôi					1	1	0	0
Texts	data_vie.txt	1	169	172	Tôi					1	1	0	0
Texts	data_vie.txt	4	446	449	tôi					1	1	0	0
Texts	data_vie.txt	6	598	601	tôi					1	1	0	0
Texts	data_vie.txt	2	860	863	Bạn					1	0	1	0
Texts	data_vie.txt	102	1017	1020	tôi					1	1	0	0
Texts	data_vie.txt	103	1050	1053	tôi					1	1	0	0
Texts	data_vie.txt	104	1073	1076	tôi					1	1	0	0
Texts	data_vie.txt	5	1267	1270	Tôi					1	1	0	0
Texts	data_vie.txt	7	1602	1605	tôi					1	1	0	0
Texts	data_vie.txt	8	1656	1659	tôi					1	1	0	0
Texts	data_vie.txt	9	1717	1720	tôi					1	1	0	0
Texts	data_vie.txt	10	1751	1754	tôi					1	1	0	0
Texts	data_vie.txt	11	1773	1776	Tôi					1	1	0	0
Texts	data_vie.txt	12	1801	1804	tôi					1	1	0	0
Texts	data_vie.txt	13	1852	1855	Tôi					1	1	0	0
Texts	data_vie.txt	14	1889	1892	Tôi					1	1	0	0
Texts	data_vie.txt	15	1928	1931	Tôi					1	1	0	0
Texts	data_vie.txt	16	1971	1974	Tôi					1	1	0	0
Texts	data_vie.txt	17	2010	2013	Tôi					1	1	0	0
Texts	data_vie.txt	18	2047	2050	Tôi					1	1	0	0
Texts	data_vie.txt	19	2096	2099	Tôi					1	1	0	0
Texts	data_vie.txt	20	2132	2135	Tôi					1	1	0	0
Texts	data_vie.txt	21	2174	2177	Bạn					1	0	1	0
Texts	data_vie.txt	22	2206	2209	Tôi					1	1	0	0
Texts	data_vie.txt	23	2233	2236	Tôi					1	1	0	0
Texts	data_vie.txt	24	2273	2276	Tôi					1	1	0	0
Texts	data_vie.txt	25	2349	2352	tôi					1	1	0	0
Texts	data_vie.txt	26	2687	2690	tôi					1	1	0	0
Texts	data_vie.txt	27	2713	2716	Tôi					1	1	0	0
Texts	data_vie.txt	28	2735	2738	Tôi					1	1	0	0
Texts	data_vie.txt	29	2935	2938	Tôi					1	1	0	0
Texts	data_vie.txt	30	2969	2972	Bạn					1	0	1	0
Texts	data_vie.txt	31	3088	3091	Tôi					1	1	0	0
Texts	data_vie.txt	32	3244	3247	Tôi					1	1	0	0
Texts	data_vie.txt	33	3314	3317	tôi					1	1	0	0
Texts	data_vie.txt	34	3497	3500	tôi					1	1	0	0
Texts	data_vie.txt	35	3627	3630	Bạn					1	0	1	0
Texts	data_vie.txt	36	3664	3667	Tôi					1	1	0	0
Texts	data_vie.txt	37	3889	3892	Tôi					1	1	0	0
Texts	data_vie.txt	38	3941	3944	Tôi					1	1	0	0
Texts	data_vie.txt	39	4058	4061	Tôi					1	1	0	0
Texts	data_vie.txt	40	4110	4113	tôi					1	1	0	0
Texts	data_vie.txt	41	4173	4176	tôi					1	1	0	0
Texts	data_vie.txt	42	4184	4187	Tôi					1	1	0	0
Texts	data_vie.txt	43	4347	4350	Tôi					1	1	0	0
Texts	data_vie.txt	44	4395	4398	Tôi					1	1	0	0
Texts	data_vie.txt	45	4474	4477	tôi					1	1	0	0
Texts	data_vie.txt	46	4512	4515	Tôi					1	1	0	0
Texts	data_vie.txt	48	4559	4562	Tôi					1	1	0	0
Texts	data_vie.txt	49	4624	4627	tôi					1	1	0	0
Texts	data_vie.txt	51	4685	4688	Tôi					1	1	0	0
Texts	data_vie.txt	52	4789	4797	Chúng ta					1	1	0	0
Texts	data_vie.txt	53	4839	4842	Tôi					1	1	0	0
Texts	data_vie.txt	54	4876	4879	Tôi					1	1	0	0
