akan datang
anggota polis
apa kata
bahasa Inggeris
bahasa Jepun
baju sejuk
berjalan kaki
bilik darjah
bilik mandi
bola sepak
buku nota
cermin mata
hari bulan
hari jadi
ibu bapa
jam tangan
kad kredit
kapal terbang
kereta api
kereta api bawah tanah
kerja rumah
kolam renang
lapangan terbang
lebih kurang
luar negara
mak cik
makan malam
makan tengah hari
menu set
muka surat
musim bunga
musim luruh
musim panas
musim sejuk
oleh kerana
oleh sebab
pak cik
pasar raya
pasu bunga
pegawai polis
pejabat pos
pemain radio kaset
pemandu pelancong
pen mata bulat
penyepit makanan
peti sejuk
peti surat
pintu keluar
pintu masuk
pintu pagar
pita kaset
pondok polis
pusat membeli-belah
salon kecantikan
sampul surat
sapu tangan
sebaik sahaja
sekarang ini
surat khabar
tali leher
telefon bimbit
tempat abu rokok
tengah hari
terima kasih
tukang gunting
