Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	data_zsm.txt	1	44	48	saya					1	1	0	0
Texts	data_zsm.txt	2	167	171	Saya					1	1	0	0
Texts	data_zsm.txt	3	490	494	saya					1	1	0	0
Texts	data_zsm.txt	798	572	576	saya					1	1	0	0
Texts	data_zsm.txt	4	671	675	saya					1	1	0	0
Texts	data_zsm.txt	5	948	952	Awak					1	0	1	0
Texts	data_zsm.txt	6	1086	1090	saya					1	1	0	0
Texts	data_zsm.txt	7	1118	1122	saya					1	1	0	0
Texts	data_zsm.txt	8	1328	1332	Saya					1	1	0	0
Texts	data_zsm.txt	9	1713	1717	Saya					1	1	0	0
Texts	data_zsm.txt	10	1798	1802	saya					1	1	0	0
Texts	data_zsm.txt	11	1827	1831	Saya					1	1	0	0
Texts	data_zsm.txt	12	1855	1859	Saya					1	1	0	0
Texts	data_zsm.txt	13	1889	1893	saya					1	1	0	0
Texts	data_zsm.txt	14	1958	1962	Saya					1	1	0	0
Texts	data_zsm.txt	15	2008	2012	Saya					1	1	0	0
Texts	data_zsm.txt	16	2057	2061	Saya					1	1	0	0
Texts	data_zsm.txt	17	2112	2116	Saya					1	1	0	0
Texts	data_zsm.txt	18	2160	2164	Saya					1	1	0	0
Texts	data_zsm.txt	19	2196	2200	Saya					1	1	0	0
Texts	data_zsm.txt	20	2241	2245	Saya					1	1	0	0
Texts	data_zsm.txt	21	2298	2302	saya					1	1	0	0
Texts	data_zsm.txt	835	2329	2333	awak					1	0	1	0
Texts	data_zsm.txt	22	2355	2359	Saya					1	1	0	0
Texts	data_zsm.txt	23	2381	2385	Saya					1	1	0	0
Texts	data_zsm.txt	24	2433	2437	Kami					1	1	0	0
Texts	data_zsm.txt	25	2509	2513	saya					1	1	0	0
Texts	data_zsm.txt	799	2804	2808	awak					1	0	1	0
Texts	data_zsm.txt	818	2837	2841	saya					1	1	0	0
Texts	data_zsm.txt	26	2867	2871	Saya					1	1	0	0
Texts	data_zsm.txt	27	2892	2896	Saya					1	1	0	0
Texts	data_zsm.txt	28	3129	3133	Saya					1	1	0	0
Texts	data_zsm.txt	29	3174	3178	awak					1	0	1	0
Texts	data_zsm.txt	30	3284	3288	Saya					1	1	0	0
Texts	data_zsm.txt	31	3461	3465	Kita					1	1	0	0
Texts	data_zsm.txt	32	3495	3499	Saya					1	1	0	0
Texts	data_zsm.txt	33	3562	3566	saya					1	1	0	0
Texts	data_zsm.txt	34	3621	3625	awak					1	0	1	0
Texts	data_zsm.txt	35	3746	3750	saya					1	1	0	0
Texts	data_zsm.txt	800	3921	3925	awak					1	0	1	0
Texts	data_zsm.txt	36	3954	3958	Saya					1	1	0	0
Texts	data_zsm.txt	37	4216	4220	Kami					1	1	0	0
Texts	data_zsm.txt	38	4291	4295	Saya					1	1	0	0
Texts	data_zsm.txt	39	4416	4420	Saya					1	1	0	0
Texts	data_zsm.txt	40	4477	4481	saya					1	1	0	0
Texts	data_zsm.txt	41	4552	4556	saya					1	1	0	0
Texts	data_zsm.txt	42	4570	4574	Saya					1	1	0	0
Texts	data_zsm.txt	43	4757	4761	Saya					1	1	0	0
Texts	data_zsm.txt	45	4843	4847	saya					1	1	0	0
Texts	data_zsm.txt	44	4910	4914	saya					1	1	0	0
Texts	data_zsm.txt	46	4961	4965	Saya					1	1	0	0
Texts	data_zsm.txt	47	5028	5032	saya					1	1	0	0
Texts	data_zsm.txt	48	5040	5044	Saya					1	1	0	0
Texts	data_zsm.txt	49	5125	5129	saya					1	1	0	0
Texts	data_zsm.txt	50	5171	5175	kami					1	1	0	0
Texts	data_zsm.txt	51	5224	5228	Saya					1	1	0	0
Texts	data_zsm.txt	52	5325	5329	kita					1	1	0	0
Texts	data_zsm.txt	54	5367	5371	Saya					1	1	0	0
Texts	data_zsm.txt	53	5416	5420	Saya					1	1	0	0
Texts	data_zsm.txt	55	5534	5538	Saya					1	1	0	0
Texts	data_zsm.txt	56	5582	5586	Saya					1	1	0	0
Texts	data_zsm.txt	58	5648	5652	Saya					1	1	0	0
Texts	data_zsm.txt	57	5670	5674	Saya					1	1	0	0
Texts	data_zsm.txt	59	5725	5729	Saya					1	1	0	0
Texts	data_zsm.txt	60	5760	5764	Saya					1	1	0	0
Texts	data_zsm.txt	61	5790	5794	Saya					1	1	0	0
Texts	data_zsm.txt	62	5832	5836	Saya					1	1	0	0
Texts	data_zsm.txt	63	5863	5867	Saya					1	1	0	0
Texts	data_zsm.txt	64	5960	5964	Saya					1	1	0	0
